n,no_cache_elapsed,cache_elapsed
0,2077,2043
2000,1294,102
4000,1096,53
6000,1094,15
8000,3,31
10000,102,71
12000,1003,63
14000,1309,158
16000,5,54
18000,1101,66
20000,1389,56
22000,5,146
24000,92,46
26000,1205,160
28000,1296,36
30000,1200,171
32000,894,56
34000,770,85
36000,1301,29
38000,93,32
40000,3096,54
42000,1299,59
44000,103,554
46000,1501,40
48000,2904,42
50000,1096,49
52000,99,93
54000,94,197
56000,3397,75
58000,1401,77
60000,2,46
62000,104,86
64000,396,84
66000,1201,42
68000,86,28
70000,1300,43
72000,995,97
74000,104,36
76000,1000,219
78000,1001,61
80000,98,51
82000,2,79
84000,913,64
86000,1396,17
88000,2597,72
90000,98,29
92000,103,155
94000,798,51
96000,699,43
98000,98,49
